Id	Prompt	Wavfile	Accept
3638	Frag: Einzelzimmer	3638.wav	accept
3639	Sag: Ich möchte mit Postkarte bezahlen	3639.wav	reject
3640	Sag: Ich möchte mit Postkarte bezahlen	3640.wav	reject
3641	Sag: Ich möchte mit Postkarte bezahlen	3641.wav	reject
3642	Frag: Gibt es eine Hotelbar?	3642.wav	accept
3643	Sag: Ich heisse Nick	3643.wav	accept
3644	Sag: Ich bin aus Österreich	3644.wav	accept
3645	Sag: Die Hauptstadt von Österreich ist Wien	3645.wav	reject
3647	Sag: Ich habe 1 Bruder	3647.wav	accept
3648	Sag: Ich habe 1 Bruder	3648.wav	accept
3649	Sag: Ich habe 1 Bruder	3649.wav	accept
3650	Sag: Ich gehe in die Ferien	3650.wav	reject
3651	Sag: Dies ist mein Pass	3651.wav	accept
3652	Sag: Dies ist mein Pass	3652.wav	reject
3654	Frag: ein Ticket zum Piccadilly Circus	3654.wav	accept
3655	Frag: ein Ticket zum Piccadilly Circus	3655.wav	reject
3656	Frag: ein Ticket zum Piccadilly Circus	3656.wav	accept
3657	Sag: Ich möchte mit Mastercard bezahlen	3657.wav	accept
3658	Frag: 4 Musical-Tickets	3658.wav	accept
3659	Frag: 4 Musical-Tickets	3659.wav	accept
3660	Frag: 4 Musical-Tickets	3660.wav	accept
3661	Sag: Ich möchte am Freitagabend gehen	3661.wav	reject
3662	Sag: Ich möchte am Freitagabend gehen	3662.wav	accept
3663	Sag: Ich möchte am Freitagabend gehen	3663.wav	accept
3664	Frag: 4 Tickets für Wicked	3664.wav	accept
3665	Frag: 4 Tickets für Wicked	3665.wav	accept
3666	Sag: Ich möchte in der achten Reihe sitzen	3666.wav	reject
3667	Sag: Ich möchte in der achten Reihe sitzen	3667.wav	accept
3668	Sag: Ich möchte in der achten Reihe sitzen	3668.wav	reject
3669	Frag: Tickets für das Naturhistorische Museum	3669.wav	accept
3670	Frag: 2 Tickets	3670.wav	accept
3671	Sag: Ich habe keine Reservation	3671.wav	reject
3673	Sag: Ich habe keine Reservation	3673.wav	accept
3674	Frag: Zimmer für 6 Nächte	3674.wav	reject
3675	Frag: Zimmer für 6 Nächte	3675.wav	accept
3676	Frag: Doppelzimmer	3676.wav	accept
3679	Frag: Gibt es ein Schwimmbad?	3679.wav	reject
3680	Frag: Wo ist das Schwimmbad?	3680.wav	accept
3681	Frag: Zimmer für 4 Nächte	3681.wav	accept
3682	Frag: Doppelzimmer	3682.wav	accept
3683	Sag: Ich möchte mit Visa bezahlen	3683.wav	accept
3684	Frag: Gibt es ein Hotelrestaurant?	3684.wav	accept
3685	Frag: Wo ist das Hotelrestaurant?	3685.wav	accept
3686	Sag: Ich möchte mit Visa bezahlen	3686.wav	accept
3688	Sag: Ich möchte mit Schweizer Franken bezahlen	3688.wav	accept
3689	Sag: Ich habe keine Reservation	3689.wav	accept
3690	Frag: Zimmer für 7 Nächte	3690.wav	accept
3691	Frag: Junior Suite	3691.wav	accept
3692	Sag: Ich möchte mit Mastercard bezahlen	3692.wav	accept
3693	Frag: Gibt es einen Coiffeur?	3693.wav	accept
3694	Frag: Wo ist der Coiffeur?	3694.wav	accept
3695	Frag: 3 Tickets nach London	3695.wav	accept
3696	Sag: Ich möchte am Mittwochabend abreisen	3696.wav	accept
3697	Sag: Ich heisse Sarah	3697.wav	accept
3698	Sag: Ich heisse Sarah	3698.wav	accept
3700	Frag: ein Ticket nach London	3700.wav	accept
3701	Sag: Ich möchte am Sonntag abreisen	3701.wav	accept
3702	Sag: Ich heisse John	3702.wav	accept
3703	Sag: Ich bin aus Spanien	3703.wav	reject
3704	Sag: Ich heisse Brian	3704.wav	accept
3705	Sag: Ich bin aus Amerika	3705.wav	accept
3706	Sag: Ich heisse Silvia	3706.wav	accept
3707	Sag: Ich bin aus Portugal	3707.wav	accept
3708	Sag: Die Hauptstadt von Portugal ist Lissabon	3708.wav	reject
3709	Sag: Ich habe 2 jüngere Brüder	3709.wav	accept
3710	Sag: Ich gehe in die Ferien	3710.wav	accept
3712	Sag: Dies ist mein Pass	3712.wav	accept
3713	Sag: Dies ist mein Pass	3713.wav	accept
3714	Sag: Dies ist mein Pass	3714.wav	accept
3716	Sag: Ich möchte mit Postkarte bezahlen	3716.wav	reject
3717	Sag: Ich möchte mit Postkarte bezahlen	3717.wav	accept
3718	Sag: Ich möchte mit Postkarte bezahlen	3718.wav	accept
3719	Frag: 2 Musical-Tickets	3719.wav	accept
3720	Frag: 2 Tickets für Montagabend	3720.wav	accept
3723	Frag: Zimmer für 2 Nächte	3723.wav	accept
3724	Frag: Zimmer für 2 Nächte	3724.wav	accept
3725	Frag: Einzelzimmer	3725.wav	accept
3726	Frag: Einzelzimmer	3726.wav	accept
3727	Frag: Einzelzimmer	3727.wav	accept
3728	Sag: Ich möchte mit Kreditkarte bezahlen	3728.wav	reject
3729	Sag: Ich möchte mit Kreditkarte bezahlen	3729.wav	reject
3730	Frag: Gibt es einen Lift?	3730.wav	reject
3731	Frag: Wo ist der Lift?	3731.wav	accept
3735	Sag: Ich möchte mit Dollars bezahlen	3735.wav	accept
3736	Frag: Zimmer für 3 Nächte	3736.wav	accept
3737	Frag: Einzelzimmer	3737.wav	accept
3738	Sag: Ich möchte mit Postkarte bezahlen	3738.wav	reject
3740	Frag: Gibt es ein Fitnessstudio?	3740.wav	accept
3741	Frag: Gibt es ein Fitnessstudio?	3741.wav	accept
3742	Frag: Wo ist das Fitnessstudio?	3742.wav	accept
3743	Frag: ein Ticket nach London	3743.wav	accept
3744	Sag: Ich möchte um 12 Uhr morgen abreisen	3744.wav	accept
3745	Sag: Ich heisse Mona	3745.wav	accept
3746	Sag: Ich bin aus Deutschland	3746.wav	accept
3749	Frag: ein Steak	3749.wav	reject
3750	Frag: ein Steak	3750.wav	reject
3751	Frag: ein Steak	3751.wav	reject
3757	Frag: Wo ist der Tower?	3757.wav	reject
3759	Frag: Welcher Bus fährt dorthin?	3759.wav	reject
3761	Frag: Zimmer für 6 Nächte	3761.wav	reject
3762	Frag: Zimmer für 6 Nächte	3762.wav	reject
3763	Frag: Zimmer für 6 Nächte	3763.wav	accept
3764	Frag: Twinzimmer	3764.wav	accept
3767	Sag: Ich möchte mit Kreditkarte bezahlen	3767.wav	accept
3768	Frag: Gibt es einen Lift?	3768.wav	reject
3769	Sag: Ich habe keine Reservation	3769.wav	reject
3770	Sag: Ich habe keine Reservation	3770.wav	accept
3771	Sag: Ich habe keine Reservation	3771.wav	accept
3773	Sag: Ich habe keine Reservation	3773.wav	accept
3774	Sag: Ich habe keine Reservation	3774.wav	reject
3776	Sag: Ich habe keine Reservation	3776.wav	accept
3777	Sag: Ich habe keine Reservation	3777.wav	accept
3778	Sag: Ich habe keine Reservation	3778.wav	accept
3779	Sag: Ich habe keine Reservation	3779.wav	reject
3781	Sag: Ich habe keine Reservation	3781.wav	accept
3782	Frag: Zimmer für 7 Nächte	3782.wav	accept
3783	Frag: Doppelzimmer	3783.wav	accept
3784	Frag: Doppelzimmer	3784.wav	reject
3786	Sag: Ich möchte mit Postkarte bezahlen	3786.wav	accept
3787	Frag: Gibt es ein Hotelrestaurant?	3787.wav	accept
3788	Frag: Wo ist das Hotelrestaurant?	3788.wav	reject
3789	Frag: Wo ist das Hotelrestaurant?	3789.wav	reject
3790	Frag: Wo ist das Hotelrestaurant?	3790.wav	reject
3791	Frag: Zimmer für 2 Nächte	3791.wav	accept
3792	Frag: Doppelzimmer	3792.wav	accept
3794	Frag: Doppelzimmer	3794.wav	accept
3795	Sag: Ich möchte mit Postkarte bezahlen	3795.wav	accept
3796	Sag: Ich möchte mit Schweizer Franken bezahlen	3796.wav	reject
3797	Sag: Ich möchte mit Schweizer Franken bezahlen	3797.wav	accept
3798	Sag: Ich möchte mit Schweizer Franken bezahlen	3798.wav	accept
3799	Frag: Gibt es einen Coiffeur?	3799.wav	reject
3800	Frag: ein Ticket zum Piccadilly Circus	3800.wav	accept
3801	Sag: Ich möchte mit Postkarte bezahlen	3801.wav	reject
3802	Sag: Ich möchte mit Pfund bezahlen	3802.wav	accept
3803	Sag: Mir geht es gut	3803.wav	accept
3804	Frag: Stiefel	3804.wav	reject
3805	Frag: Stiefel	3805.wav	accept
3806	Frag: blaue Stiefel	3806.wav	accept
3807	Sag: Ich habe keine Reservation	3807.wav	accept
3808	Frag: Zimmer für 3 Nächte	3808.wav	accept
3809	Frag: Junior Suite	3809.wav	accept
3810	Sag: Ich möchte mit Kreditkarte bezahlen	3810.wav	accept
3811	Sag: Ich heisse Barbara	3811.wav	accept
3812	Sag: Ich bin aus Frankreich	3812.wav	accept
3813	Sag: Die Hauptstadt von Frankreich ist Paris	3813.wav	accept
3814	Sag: Ich habe 2 jüngere Schwestern	3814.wav	accept
3815	Sag: Ich gehe in die Ferien	3815.wav	reject
3816	Sag: Dies ist mein Pass	3816.wav	accept
3817	Sag: Dies ist mein Pass	3817.wav	reject
3818	Sag: Dies ist mein Pass	3818.wav	accept
3819	Frag: 3 Musical-Tickets	3819.wav	accept
3820	Frag: 3 Musical-Tickets	3820.wav	accept
3822	Frag: 3 Tickets für Starlight Express	3822.wav	accept
3823	Sag: Ich möchte in der vierten Reihe sitzen	3823.wav	reject
3824	Sag: Ich möchte in der vierten Reihe sitzen	3824.wav	accept
3825	Frag: Tickets für das London Eye	3825.wav	accept
3826	Frag: 4 Tickets	3826.wav	accept
3827	Frag: 3 Musical-Tickets	3827.wav	accept
3828	Frag: ein Ticket für Donnerstagabend	3828.wav	accept
3829	Frag: 3 Tickets für Wicked	3829.wav	accept
3830	Frag: Ticket für dieses Musical	3830.wav	accept
3831	Frag: Ticket für dieses Musical	3831.wav	accept
3832	Sag: Ich möchte in der zweiten Reihe sitzen	3832.wav	accept
3833	Frag: Tickets für Madame Tussauds	3833.wav	reject
3834	Frag: 1 Ticket	3834.wav	accept
3835	Frag: 1 Musical-Ticket	3835.wav	accept
3836	Frag: ein Ticket für heute Abend	3836.wav	accept
3837	Frag: ein Ticket für heute Abend	3837.wav	accept
3838	Frag: ein Ticket für Mamma Mia	3838.wav	accept
3839	Frag: Ticket für dieses Musical	3839.wav	accept
3840	Sag: Ich möchte vorne sitzen	3840.wav	reject
3841	Sag: Ich möchte vorne sitzen	3841.wav	accept
3842	Frag: Tickets für das British Museum	3842.wav	accept
3843	Frag: Tickets für das British Museum	3843.wav	accept
3844	Frag: 2 Tickets	3844.wav	accept
3845	Frag: 2 Musical-Tickets	3845.wav	accept
3846	Frag: ein Ticket für Samstagabend	3846.wav	accept
3847	Frag: 2 Tickets für König der Löwen	3847.wav	accept
3848	Sag: Ich möchte vorne sitzen	3848.wav	accept
3849	Frag: Tickets für das Science Museum	3849.wav	accept
3850	Frag: 1 Ticket	3850.wav	accept
3851	Frag: Wo ist das Naturhistorische Museum?	3851.wav	accept
3852	Frag: Wo ist die Oxford Street?	3852.wav	accept
3853	Frag: Welcher Bus fährt dorthin?	3853.wav	accept
3854	Sag: Der Tower ist nahe der Tower Bridge	3854.wav	accept
3855	Frag: Wo ist das Naturhistorische Museum?	3855.wav	accept
3856	Frag: Wo ist Piccadilly Circus?	3856.wav	accept
3857	Frag: Welcher Bus fährt dorthin?	3857.wav	accept
3858	Sag: Big Ben ist neben den Houses of Parliament	3858.wav	reject
3859	Frag: Wo ist das Naturhistorische Museum?	3859.wav	accept
3860	Frag: Wo ist der Tower?	3860.wav	reject
3861	Frag: Wo ist der Tower?	3861.wav	accept
3862	Sag: Marble Arch ist gegenüber dem Hyde Park	3862.wav	reject
3863	Frag: Wo ist die National Gallery?	3863.wav	accept
3864	Frag: Wo ist Big Ben?	3864.wav	accept
3865	Frag: Welcher Bus fährt dorthin?	3865.wav	accept
3866	Sag: Der Tower ist nahe der Tower Bridge	3866.wav	accept
3867	Frag: Wo ist der Zoo?	3867.wav	accept
3868	Frag: Wo ist Madame Tussauds?	3868.wav	reject
3869	Frag: Welcher Bus fährt dorthin?	3869.wav	accept
3870	Sag: Der Tower ist nahe der Tower Bridge	3870.wav	accept
3871	Frag: einen Orangensaft	3871.wav	reject
3872	Frag: einen Orangensaft	3872.wav	accept
3873	Frag: einen Hamburger	3873.wav	accept
3874	Frag: meinen Hamburger rare	3874.wav	accept
3875	Frag: Erbsen	3875.wav	reject
3876	Frag: Erbsen	3876.wav	reject
3877	Frag: Erbsen	3877.wav	reject
3878	Frag: Ich möchte die Dessertkarte	3878.wav	reject
3879	Frag: Ich möchte die Dessertkarte	3879.wav	reject
3880	Frag: Ich möchte die Dessertkarte	3880.wav	accept
3882	Frag: Karrotenkuchen	3882.wav	accept
3883	Frag: Ich möchte die Rechnung	3883.wav	accept
3888	Sag: Ich habe keine Reservation	3888.wav	reject
3889	Frag: Zimmer für 2 Nächte	3889.wav	accept
3890	Frag: Suite	3890.wav	reject
3891	Sag: Ich möchte mit Mastercard bezahlen	3891.wav	reject
3892	Sag: Ich möchte mit Mastercard bezahlen	3892.wav	reject
3893	Frag: Zimmer für 1 Woche	3893.wav	accept
3894	Frag: Suite	3894.wav	accept
3896	Frag: Gibt es einen Lebensmittelladen?	3896.wav	accept
3897	Frag: Wo ist der Lebensmittelladen?	3897.wav	accept
3898	Frag: 1 Musical-Ticket	3898.wav	accept
3899	Frag: 1 Musical-Ticket	3899.wav	reject
3900	Frag: ein Ticket für morgen Abend	3900.wav	reject
3901	Frag: ein Ticket für morgen Abend	3901.wav	reject
3902	Frag: ein Ticket für morgen Abend	3902.wav	reject
3903	Frag: ein Ticket für Starlight Express	3903.wav	accept
3904	Frag: ein Ticket für Starlight Express	3904.wav	reject
3905	Frag: ein Ticket für Starlight Express	3905.wav	accept
3906	Sag: Ich möchte in der Mitte sitzen	3906.wav	accept
3907	Frag: Tickets für das London Eye	3907.wav	accept
3908	Frag: 4 Tickets	3908.wav	accept
3909	Sag: Mir geht es gut	3909.wav	accept
3910	Frag: Stiefel	3910.wav	accept
3911	Frag: weisse Stiefel	3911.wav	accept
3912	Frag: Grösse 36	3912.wav	accept
3913	Frag: ein T-Shirt	3913.wav	accept
3914	Frag: ein gelbes T-Shirt	3914.wav	accept
3915	Frag: eine L	3915.wav	reject
3916	Frag: eine L	3916.wav	reject
3917	Frag: eine L	3917.wav	accept
3918	Frag: Wie viel kostet es?	3918.wav	accept
3919	Sag: Dies ist zu teuer	3919.wav	reject
3920	Sag: Mir geht es gut	3920.wav	accept
3921	Frag: Sandalen	3921.wav	accept
3922	Frag: rote Sandalen	3922.wav	accept
3923	Frag: Grösse 38	3923.wav	accept
3924	Frag: ein T-Shirt	3924.wav	accept
3925	Frag: ein gelbes T-Shirt	3925.wav	accept
3926	Frag: eine L	3926.wav	reject
3927	Frag: eine L	3927.wav	reject
3928	Frag: eine L	3928.wav	accept
3929	Frag: Wie viel kostet es?	3929.wav	accept
3930	Sag: Das T-Shirt ist zu teuer	3930.wav	accept
3931	Sag: Mir geht es gut	3931.wav	accept
3932	Frag: Stiefel	3932.wav	accept
3933	Frag: braune Stiefel	3933.wav	accept
3934	Frag: Grösse 39	3934.wav	accept
3935	Frag: ein T-Shirt	3935.wav	accept
3936	Frag: ein braunes T-Shirt	3936.wav	accept
3938	Frag: Wie viel kostet das T-Shirt?	3938.wav	accept
3940	Sag: Mir geht es gut	3940.wav	accept
3941	Frag: Sandalen	3941.wav	accept
3942	Frag: weisse Sandalen	3942.wav	accept
3943	Frag: Grösse 44	3943.wav	accept
3944	Frag: Hosen	3944.wav	reject
3945	Frag: Hosen	3945.wav	accept
3946	Frag: rote Hosen	3946.wav	accept
3947	Frag: eine S	3947.wav	accept
3948	Frag: Wie viel kostet die Hose?	3948.wav	reject
3949	Frag: Wie viel kostet die Hose?	3949.wav	reject
3950	Sag: Die Hose ist zu teuer	3950.wav	reject
3952	Sag: Ich heisse Sarah	3952.wav	accept
3953	Sag: Ich bin aus Italien	3953.wav	accept
3954	Sag: Die Hauptstadt von Italien ist Rom	3954.wav	accept
3955	Sag: Ich habe 1 Bruder	3955.wav	reject
3956	Sag: Ich habe 1 Bruder	3956.wav	accept
3958	Sag: Dies ist mein Pass	3958.wav	accept
3959	Sag: Dies ist mein Pass	3959.wav	accept
3960	Sag: Ich heisse Michelle	3960.wav	accept
3961	Sag: Ich bin aus Deutschland	3961.wav	accept
3962	Sag: Die Hauptstadt von Deutschland ist Berlin	3962.wav	accept
3963	Sag: Ich habe 4 ältere Brüder	3963.wav	accept
3966	Sag: Dies ist mein Pass	3966.wav	reject
3967	Frag: ein Ticket zum Green Park	3967.wav	accept
3968	Sag: Ich möchte mit Kreditkarte bezahlen	3968.wav	accept
3969	Frag: 2 Tickets nach London	3969.wav	accept
3970	Sag: Ich möchte am Freitagmorgen abreisen	3970.wav	accept
3971	Sag: Ich heisse Silvia	3971.wav	accept
3972	Sag: Ich bin aus England	3972.wav	accept
3973	Frag: 6 Tickets nach London	3973.wav	accept
3974	Sag: Ich möchte am Freitagabend abreisen	3974.wav	accept
3975	Sag: Ich heisse Stephanie	3975.wav	accept
3976	Sag: Ich bin aus Deutschland	3976.wav	accept
3977	Frag: 2 Tickets nach London	3977.wav	accept
3978	Sag: Ich möchte um 8 Uhr morgen abreisen	3978.wav	accept
3979	Frag: Wie viel kostet es?	3979.wav	accept
3980	Frag: billigeres Ticket	3980.wav	accept
3981	Sag: Das ist okay	3981.wav	accept
3982	Sag: Ich heisse Paul	3982.wav	accept
3983	Sag: Ich bin aus Australien	3983.wav	accept
3986	Sag: Ich habe keine Reservation	3986.wav	reject
3987	Frag: Zimmer für 6 Nächte	3987.wav	accept
3988	Frag: Doppelzimmer	3988.wav	accept
3989	Frag: Doppelzimmer	3989.wav	accept
3991	Frag: Gibt es einen Lift?	3991.wav	accept
3992	Frag: 2 Musical-Tickets	3992.wav	accept
3993	Frag: 2 Tickets für Sonntagabend	3993.wav	accept
3995	Sag: Ich möchte in der fünften Reihe sitzen	3995.wav	accept
3996	Frag: Tickets für das Science Museum	3996.wav	accept
3997	Frag: 1 Ticket	3997.wav	accept
3998	Frag: 2 Musical-Tickets	3998.wav	accept
3999	Frag: 2 Tickets für heute Abend	3999.wav	reject
4000	Frag: 2 Tickets für Mamma Mia	4000.wav	accept
4001	Frag: Ticket für dieses Musical	4001.wav	reject
4002	Frag: Ticket für dieses Musical	4002.wav	accept
4003	Sag: Ich möchte hinten sitzen	4003.wav	accept
4004	Frag: Tickets für das British Museum	4004.wav	accept
4005	Frag: 3 Tickets	4005.wav	accept
4006	Frag: Zimmer für 5 Nächte	4006.wav	accept
4007	Frag: Twinzimmer	4007.wav	reject
4008	Frag: Twinzimmer	4008.wav	accept
4009	Sag: Ich möchte mit Visa bezahlen	4009.wav	accept
4010	Sag: Ich möchte mit Euros bezahlen	4010.wav	reject
4011	Frag: Gibt es ein Hotelrestaurant?	4011.wav	reject
4012	Frag: Gibt es ein Hotelrestaurant?	4012.wav	accept
4014	Sag: Ich habe keine Reservation	4014.wav	accept
4015	Sag: Ich habe keine Reservation	4015.wav	reject
4016	Sag: Ich habe keine Reservation	4016.wav	accept
4017	Frag: Zimmer für 2 Nächte	4017.wav	accept
4018	Frag: Suite	4018.wav	accept
4019	Sag: Ich möchte mit Visa bezahlen	4019.wav	accept
4020	Frag: Gibt es einen Lift?	4020.wav	accept
4021	Frag: Zimmer für 3 Nächte	4021.wav	accept
4022	Frag: Junior Suite	4022.wav	accept
4023	Sag: Ich möchte mit Visa bezahlen	4023.wav	accept
4024	Frag: Gibt es einen Lebensmittelladen?	4024.wav	accept
4025	Frag: Wo ist der Lebensmittelladen?	4025.wav	accept
4026	Frag: Einzelzimmer	4026.wav	accept
4028	Frag: Gibt es einen Coiffeur?	4028.wav	accept
4029	Frag: Wo ist der Coiffeur?	4029.wav	accept
4030	Frag: Zimmer für 5 Nächte	4030.wav	accept
4031	Frag: Wo ist der Coiffeur?	4031.wav	accept
4032	Frag: Zimmer für 5 Nächte	4032.wav	accept
4033	Frag: Twinzimmer	4033.wav	accept
4034	Sag: Ich möchte mit Kreditkarte bezahlen	4034.wav	accept
4035	Frag: Gibt es einen Coiffeur?	4035.wav	accept
4036	Frag: Wo ist der Coiffeur?	4036.wav	accept
4037	Sag: Mein Badezimmer ist dreckig	4037.wav	accept
4038	Frag: Wo ist der Haarföhn?	4038.wav	reject
4039	Frag: Wo ist der Haarföhn?	4039.wav	reject
4040	Frag: Wo ist der Haarföhn?	4040.wav	reject
4041	Frag: Zimmer für 3 Nächte	4041.wav	accept
4042	Frag: Twinzimmer	4042.wav	accept
4043	Sag: Ich möchte mit Mastercard bezahlen	4043.wav	accept
4044	Frag: Gibt es eine Hotelbar?	4044.wav	accept
4045	Frag: Wo ist die Hotelbar?	4045.wav	accept
4046	Sag: Mein WC ist dreckig	4046.wav	reject
4047	Sag: Im Zimmer hat es keinen Haarföhn	4047.wav	reject
4048	Sag: Im Zimmer hat es keinen Haarföhn	4048.wav	reject
4049	Sag: Im Zimmer hat es keinen Haarföhn	4049.wav	reject
4050	Frag: Zimmer für 6 Nächte	4050.wav	accept
4051	Frag: Twinzimmer	4051.wav	accept
4052	Frag: ein Ticket zum Trafalgar Square	4052.wav	accept
4053	Frag: ein Ticket zum Trafalgar Square	4053.wav	accept
4058	Sag: Ich möchte mit Mastercard bezahlen	4058.wav	reject
4061	Frag: ein Ticket zum Trafalgar Square	4061.wav	accept
4062	Sag: Ich möchte mit Visa bezahlen	4062.wav	accept
4063	Sag: Ich möchte mit Pfund bezahlen	4063.wav	reject
4064	Sag: Ich möchte mit Pfund bezahlen	4064.wav	reject
4065	Frag: 3 Musical-Tickets	4065.wav	accept
4066	Sag: Ich möchte heute Abend gehen	4066.wav	reject
4067	Sag: Ich möchte heute Abend gehen	4067.wav	reject
4068	Sag: Ich möchte heute Abend gehen	4068.wav	reject
4069	Frag: 3 Tickets für das Phantom der Oper	4069.wav	reject
4070	Sag: Ich möchte hinten sitzen	4070.wav	reject
4071	Sag: Ich möchte hinten sitzen	4071.wav	reject
4072	Sag: Ich möchte hinten sitzen	4072.wav	reject
4073	Frag: Tickets für das London Eye	4073.wav	accept
4075	Frag: 4 Tickets für morgen Abend	4075.wav	accept
4079	Frag: mein Steak rare	4079.wav	reject
4080	Frag: mein Steak rare	4080.wav	reject
4081	Frag: mein Steak rare	4081.wav	reject
4083	Frag: etwas Kartoffelstock	4083.wav	reject
4085	Frag: Ich möchte die Dessertkarte	4085.wav	reject
4087	Frag: weisse Stiefel	4087.wav	accept
4088	Frag: weisse Stiefel	4088.wav	accept
4089	Frag: Grösse 41	4089.wav	accept
4090	Frag: Grösse 41	4090.wav	accept
4091	Frag: Jeans	4091.wav	accept
4092	Frag: Jeans	4092.wav	accept
4093	Frag: weisse Jeans	4093.wav	accept
4094	Frag: eine L	4094.wav	reject
4095	Frag: eine L	4095.wav	reject
4097	Frag: Wie viel kostet die Jeans?	4097.wav	accept
4098	Sag: Dies ist zu teuer	4098.wav	accept
4099	Frag: Welcher Bus fährt dorthin?	4099.wav	reject
4100	Sag: Marble Arch ist gegenüber dem Hyde Park	4100.wav	reject
4102	Frag: Gibt es einen Lift?	4102.wav	accept
4103	Frag: Wo ist der Lift?	4103.wav	accept
4104	Frag: Wo ist der Lift?	4104.wav	accept
4105	Frag: Wo ist der Lift?	4105.wav	accept
4106	Sag: Ich bin aus Deutschland	4106.wav	accept
4107	Sag: Ich bin aus Spanien	4107.wav	accept
4108	Sag: Ich möchte um 16 Uhr morgen abreisen	4108.wav	accept
4109	Sag: Ich bin aus Australien	4109.wav	reject
4110	Sag: Ich heisse Janet	4110.wav	accept
4111	Sag: Ich bin aus Österreich	4111.wav	accept
4112	Sag: Ich heisse Erica	4112.wav	accept
4113	Frag: Wo ist der Coiffeur?	4113.wav	accept
4114	Sag: Ich möchte mit Mastercard bezahlen	4114.wav	accept
4115	Frag: Gibt es einen Lebensmittelladen?	4115.wav	reject
4116	Frag: Gibt es einen Lebensmittelladen?	4116.wav	accept
4117	Frag: Gibt es einen Lebensmittelladen?	4117.wav	accept
4118	Frag: Wo ist der Lebensmittelladen?	4118.wav	reject
4119	Frag: Wo ist der Lebensmittelladen?	4119.wav	accept
4120	Frag: Wo ist der Lebensmittelladen?	4120.wav	accept
4121	Sag: Ich möchte um 12 Uhr morgen abreisen	4121.wav	reject
4122	Sag: Ich möchte um 12 Uhr morgen abreisen	4122.wav	reject
4123	Sag: Ich bin aus Schottland	4123.wav	accept
4125	Frag: Einzelzimmer	4125.wav	accept
4126	Frag: Einzelzimmer	4126.wav	accept
4127	Sag: Ich möchte mit Kreditkarte bezahlen	4127.wav	accept
4128	Sag: Ich möchte mit Kreditkarte bezahlen	4128.wav	reject
4129	Sag: Ich möchte mit Kreditkarte bezahlen	4129.wav	accept
4130	Frag: Gibt es eine Hotelbar?	4130.wav	accept
