ID	Method	Prompt	Transcript	Judgement	Original Judgement
3649	RG	Sag: Ich habe 1 Bruder	i have one brother	accept	accept
3650	no method	Sag: Ich gehe in die Ferien	i going in the holiday	reject	reject
3651	RG	Sag: Dies ist mein Pass	this is my passport	accept	accept
3652	no method	Sag: Dies ist mein Pass	this is my pass	reject	reject
3654	magic	Frag: ein Ticket zum Piccadilly Circus	a ticket from piccadilly circus	accept	reject
3655	no method	Frag: ein Ticket zum Piccadilly Circus	like a ticket to piccadilly circus	reject	reject
3656	RG	Frag: ein Ticket zum Piccadilly Circus	i would like a ticket to piccadilly circus	accept	accept
3657	credit card cluster	Sag: Ich möchte mit Mastercard bezahlen	i would like to play with my master card	reject	reject
3658	RG	Frag: 4 Musical-Tickets	four musical tickets	accept	accept
3659	RG	Frag: 4 Musical-Tickets	four musical tickets	accept	accept
3660	RG	Frag: 4 Musical-Tickets	i would like to buy four musical tickets	accept	accept
3661	no method	Sag: Ich möchte am Freitagabend gehen	i would go by free day avenue	reject	reject
3662	no method	Sag: Ich möchte am Freitagabend gehen	i would like to go a priday night	reject	reject
3663	no method	Sag: Ich möchte am Freitagabend gehen	i would like to go on free day night	reject	reject
3664	magic	Frag: 4 Tickets für Wicked	i would like four tickets for the wick	accept	reject
3665	RG	Frag: 4 Tickets für Wicked	i want four tickets for wicked	accept	accept
3666	no method	Sag: Ich möchte in der achten Reihe sitzen	in the eight row	reject	reject
3667	RG	Sag: Ich möchte in der achten Reihe sitzen	i want to sit in the eighth row	accept	accept
3668	no method	Sag: Ich möchte in der achten Reihe sitzen	i want seat in the eight row	reject	reject
3669	RG	Frag: Tickets für das Naturhistorische Museum	i want tickets for the natural history museum	accept	accept
3670	RG	Frag: 2 Tickets	i want two tickets	accept	accept
3671	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
3673	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
3674	no method	Frag: Zimmer für 6 Nächte	can i have six rooms for six nights	reject	reject
3675	RG	Frag: Zimmer für 6 Nächte	i want a room for six nights	accept	accept
3676	RG	Frag: Doppelzimmer	i want a double room	accept	accept
3679	no method	Frag: Gibt es ein Schwimmbad?	have you a pool	reject	accept
3680	RG	Frag: Wo ist das Schwimmbad?	where is the pool	accept	accept
3681	RG	Frag: Zimmer für 4 Nächte	i want a room for four nights	accept	accept
3682	RG	Frag: Doppelzimmer	i want a double room	accept	accept
3683	RG	Sag: Ich möchte mit Visa bezahlen	can i pay with visa	accept	accept
3684	RG	Frag: Gibt es ein Hotelrestaurant?	is there a hotel restaurant	accept	accept
3685	RG	Frag: Wo ist das Hotelrestaurant?	where is the hotel restaurant	accept	accept
3686	RG	Sag: Ich möchte mit Visa bezahlen	can i pay with visa	accept	accept
3688	credit card cluster	Sag: Ich möchte mit Schweizer Franken bezahlen	can i pay with swiss friends	reject	reject
3689	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
3690	RG	Frag: Zimmer für 7 Nächte	i want a room for seven nights	accept	accept
3691	no method	Frag: Junior Suite	on the junior suite	reject	reject
3692	RG	Sag: Ich möchte mit Mastercard bezahlen	can i pay by mastercard	accept	accept
3693	RG	Frag: Gibt es einen Coiffeur?	is there a hairdresser	accept	accept
3694	RG	Frag: Wo ist der Coiffeur?	where is the hairdresser	accept	accept
3695	RG	Frag: 3 Tickets nach London	i would like three tickets to london	accept	accept
3696	RG	Sag: Ich möchte am Mittwochabend abreisen	i want to leave on wednesday evening	accept	accept
3697	RG	Sag: Ich heisse Sarah	my name is sarah	accept	accept
3698	RG	Sag: Ich heisse Sarah	my name is sarah	accept	accept
3700	RG	Frag: ein Ticket nach London	i want a ticket to london	accept	accept
3701	RG	Sag: Ich möchte am Sonntag abreisen	i would like to leave on sunday	accept	accept
3702	RG	Sag: Ich heisse John	my name is john	accept	accept
3703	RG	Sag: Ich bin aus Spanien	i am from spain	accept	accept
3704	RG	Sag: Ich heisse Brian	my name is brian	accept	accept
3705	RG	Sag: Ich bin aus Amerika	i am from america	accept	accept
3706	RG	Sag: Ich heisse Silvia	my name is silvia	accept	accept
3707	RG	Sag: Ich bin aus Portugal	i am from portugal	accept	accept
3708	magic	Sag: Die Hauptstadt von Portugal ist Lissabon	the capital of portugal is lisabon	accept	reject
3709	magic	Sag: Ich habe 2 jüngere Brüder	i have two young brothers	accept	reject
3710	no method	Sag: Ich gehe in die Ferien	i going to holidays	reject	reject
3712	RG	Sag: Dies ist mein Pass	that is my passport	accept	accept
3713	no method	Sag: Dies ist mein Pass	that is is my passport	reject	reject
3714	RG	Sag: Dies ist mein Pass	this is my passport	accept	accept
3716	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i want pay	reject	reject
3717	RG	Sag: Ich möchte mit Postkarte bezahlen	i would like to pay by post card	accept	accept
3718	RG	Sag: Ich möchte mit Postkarte bezahlen	i would like to pay by post card	accept	accept
3719	RG	Frag: 2 Musical-Tickets	i want two musical tickets	accept	accept
3720	RG	Frag: 2 Tickets für Montagabend	i want two tickets for monday evening	accept	accept
3723	RG	Frag: Zimmer für 2 Nächte	a room for two nights	accept	accept
3724	RG	Frag: Zimmer für 2 Nächte	can i have a room for two nights	accept	accept
3725	RG	Frag: Einzelzimmer	a single room	accept	accept
3726	RG	Frag: Einzelzimmer	single room	accept	accept
3727	RG	Frag: Einzelzimmer	single room	accept	accept
3728	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	i	reject	reject
3729	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	ich verschtands nid	reject	reject
3730	no method	Frag: Gibt es einen Lift?	is it a lift	reject	reject
3731	RG	Frag: Wo ist der Lift?	where is the lift	accept	accept
3735	RG	Sag: Ich möchte mit Dollars bezahlen	can i pay with dollars	accept	accept
3736	RG	Frag: Zimmer für 3 Nächte	i want a room for three nights	accept	accept
3737	RG	Frag: Einzelzimmer	i want a single room	accept	accept
3738	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i want to pay with credit card	reject	reject
3740	magic	Frag: Gibt es ein Fitnessstudio?	have you got a fitness studio	accept	accept
3741	RG	Frag: Gibt es ein Fitnessstudio?	is there a gym	accept	accept
3742	RG	Frag: Wo ist das Fitnessstudio?	where is the gym	accept	accept
3743	RG	Frag: ein Ticket nach London	i want a ticket to london	accept	accept
3744	RG	Sag: Ich möchte um 12 Uhr morgen abreisen	i want to leave tomorrow at noon	accept	accept
3745	RG	Sag: Ich heisse Mona	my name is mona	accept	accept
3746	RG	Sag: Ich bin aus Deutschland	i am from germany	accept	accept
3749	no method	Frag: ein Steak	single room a single r	reject	reject
3750	no method	Frag: ein Steak	i would like a steetch	reject	reject
3751	no method	Frag: ein Steak	kusvich	reject	reject
3757	no method	Frag: Wo ist der Tower?	where is the tour i am	reject	reject
3759	RG	Frag: Welcher Bus fährt dorthin?	which bus goes there	accept	accept
3761	meaning_reject	Frag: Zimmer für 6 Nächte	a dorm for six nights	reject	reject
3762	no method	Frag: Zimmer für 6 Nächte	a dorm for six nights	reject	reject
3763	RG	Frag: Zimmer für 6 Nächte	i want a room for six nights	accept	accept
3764	magic	Frag: Twinzimmer	a twin zimmer	accept	reject
3767	RG	Sag: Ich möchte mit Kreditkarte bezahlen	i would like to pay by credit card	accept	accept
3768	RG	Frag: Gibt es einen Lift?	is there a lift	accept	accept
3769	no method	Sag: Ich habe keine Reservation	i've no a reservation	reject	reject
3770	RG	Sag: Ich habe keine Reservation	i have no reservation	accept	accept
3771	RG	Sag: Ich habe keine Reservation	i have no reservation	accept	accept
3773	RG	Sag: Ich habe keine Reservation	i have not got a reservation	accept	accept
3774	no method	Sag: Ich habe keine Reservation	i have not a reservation	reject	reject
3776	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
3777	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
3778	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
3779	no method	Sag: Ich habe keine Reservation	i have not have	reject	reject
3781	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
3782	RG	Frag: Zimmer für 7 Nächte	a room for seven nights	accept	accept
3783	RG	Frag: Doppelzimmer	a double room	accept	accept
3784	RG	Frag: Doppelzimmer	a double room	accept	accept
3786	RG	Sag: Ich möchte mit Postkarte bezahlen	i would like to pay by post card	accept	accept
3787	RG	Frag: Gibt es ein Hotelrestaurant?	is there a restaurant	accept	accept
3788	RG	Frag: Wo ist das Hotelrestaurant?	where is the restaurant	accept	accept
3789	RG	Frag: Wo ist das Hotelrestaurant?	where is the restaurant	accept	accept
3790	RG	Frag: Wo ist das Hotelrestaurant?	where is the hotel restaurant	accept	accept
3791	RG	Frag: Zimmer für 2 Nächte	a room for two nights	accept	accept
3792	RG	Frag: Doppelzimmer	a double room	accept	accept
3794	RG	Frag: Doppelzimmer	a twin room	accept	accept
3795	RG	Sag: Ich möchte mit Postkarte bezahlen	i would like to pay by post card	accept	accept
3796	credit card cluster	Sag: Ich möchte mit Schweizer Franken bezahlen	i would like to pay by swiss francs	accept	reject
3797	credit card cluster	Sag: Ich möchte mit Schweizer Franken bezahlen	i would like to pay by swiss francs	accept	reject
3798	RG	Sag: Ich möchte mit Schweizer Franken bezahlen	can i pay with swiss francs	accept	accept
3799	RG	Frag: Gibt es einen Coiffeur?	is there a hairdresser	accept	accept
3800	no method	Frag: ein Ticket zum Piccadilly Circus	i want a ticket to the piccadilly circus	reject	reject
3801	credit card cluster	Sag: Ich möchte mit Postkarte bezahlen	i would like to change with post card	reject	reject
3802	credit card cluster	Sag: Ich möchte mit Pfund bezahlen	i would like to change with pounds	reject	reject
3803	no method	Sag: Mir geht es gut	i am	reject	reject
3804	no method	Frag: Stiefel	i would like stiefel	reject	reject
3805	RG	Frag: Stiefel	i would like some boots	accept	accept
3806	RG	Frag: blaue Stiefel	i would like blue boots	accept	accept
3807	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
3808	RG	Frag: Zimmer für 3 Nächte	a room for three nights	accept	accept
3809	RG	Frag: Junior Suite	a junior suite	accept	accept
3810	credit card cluster	Sag: Ich möchte mit Kreditkarte bezahlen	i want pay with credit card	reject	reject
3811	RG	Sag: Ich heisse Barbara	my name is barbara	accept	accept
3812	RG	Sag: Ich bin aus Frankreich	i am from france	accept	accept
3813	RG	Sag: Die Hauptstadt von Frankreich ist Paris	the capital of france is paris	accept	accept
3814	RG	Sag: Ich habe 2 jüngere Schwestern	i have two younger sisters	accept	accept
3815	no method	Sag: Ich gehe in die Ferien	i go in the holidays	reject	reject
3816	RG	Sag: Dies ist mein Pass	this is my passport	accept	accept
3817	magic	Sag: Dies ist mein Pass	these is my passport	accept	reject
3818	RG	Sag: Dies ist mein Pass	it is my passport	accept	accept
3819	magic	Frag: 3 Musical-Tickets	musical tickets	accept	reject
3820	RG	Frag: 3 Musical-Tickets	can i have three musical tickets	accept	accept
3822	magic	Frag: 3 Tickets für Starlight Express	i need three tickets for stairlight express	accept	accept
3823	no method	Sag: Ich möchte in der vierten Reihe sitzen	i would like in the fourth serious sit	reject	reject
3824	RG	Sag: Ich möchte in der vierten Reihe sitzen	i would like to sit in the fourth row	accept	accept
3825	RG	Frag: Tickets für das London Eye	i want tickets for the london eye	accept	accept
3826	RG	Frag: 4 Tickets	i need four tickets	accept	accept
3827	RG	Frag: 3 Musical-Tickets	i need three musical tickets	accept	accept
3828	magic	Frag: ein Ticket für Donnerstagabend	i need a ticket for thursday night	accept	accept
3829	RG	Frag: 3 Tickets für Wicked	i need three tickets for wicked	accept	accept
3830	RG	Frag: Ticket für dieses Musical	i want a ticket for this musical	accept	accept
3831	RG	Frag: Ticket für dieses Musical	i want tickets for this musical	accept	accept
3832	RG	Sag: Ich möchte in der zweiten Reihe sitzen	i want to sit in the second row	accept	accept
3833	RG	Frag: Tickets für Madame Tussauds	i want tickets for madame tussauds	accept	accept
3834	RG	Frag: 1 Ticket	i need one ticket	accept	accept
3835	RG	Frag: 1 Musical-Ticket	i need one musical ticket	accept	accept
3836	meaning_reject	Frag: ein Ticket für heute Abend	a ticket for night	reject	reject
3837	RG	Frag: ein Ticket für heute Abend	i want tickets for this evening	accept	accept
3838	magic	Frag: ein Ticket für Mamma Mia	i want a ticket for mamma mia	accept	accept
3839	RG	Frag: Ticket für dieses Musical	i want a ticket for this musical	accept	accept
3840	no method	Sag: Ich möchte vorne sitzen	i want sit up front	reject	reject
3841	RG	Sag: Ich möchte vorne sitzen	i would like to sit in the front	accept	accept
3842	RG	Frag: Tickets für das British Museum	i need tickets for the british museum	accept	accept
3843	RG	Frag: Tickets für das British Museum	can i have tickets for the british museum	accept	accept
3844	RG	Frag: 2 Tickets	i need two tickets	accept	accept
3845	RG	Frag: 2 Musical-Tickets	i need two musical tickets	accept	accept
3846	magic	Frag: ein Ticket für Samstagabend	i need a ticket for saturday night	accept	accept
3847	RG	Frag: 2 Tickets für König der Löwen	i need two tickets for the lion king	accept	accept
3848	RG	Sag: Ich möchte vorne sitzen	i want to sit in the front	accept	accept
3849	RG	Frag: Tickets für das Science Museum	i want tickets for the science museum	accept	accept
3850	RG	Frag: 1 Ticket	i need one ticket	accept	accept
3851	RG	Frag: Wo ist das Naturhistorische Museum?	where is the natural history museum	accept	accept
3852	magic	Frag: Wo ist die Oxford Street?	where is the oxford street	accept	reject
3853	RG	Frag: Welcher Bus fährt dorthin?	which bus goes there	accept	accept
3854	RG	Sag: Der Tower ist nahe der Tower Bridge	the tower is near the tower bridge	accept	accept
3855	RG	Frag: Wo ist das Naturhistorische Museum?	where is the natural history museum	accept	accept
3856	RG	Frag: Wo ist Piccadilly Circus?	where is piccadilly circus	accept	accept
3857	RG	Frag: Welcher Bus fährt dorthin?	which bus goes there	accept	accept
3858	no method	Sag: Big Ben ist neben den Houses of Parliament	the big ben is beside the houses of parliament	reject	reject
3859	RG	Frag: Wo ist das Naturhistorische Museum?	where is the natural history museum	accept	accept
3860	no method	Frag: Wo ist der Tower?	you can't use help at the silver level	reject	reject
3861	RG	Frag: Wo ist der Tower?	where is the tower	accept	accept
3862	no method	Sag: Marble Arch ist gegenüber dem Hyde Park	marble arch is across hyde street park	reject	reject
3863	RG	Frag: Wo ist die National Gallery?	where is the national gallery	accept	accept
3864	magic	Frag: Wo ist Big Ben?	where is the big ben	accept	reject
3865	RG	Frag: Welcher Bus fährt dorthin?	which bus goes there	accept	accept
3866	RG	Sag: Der Tower ist nahe der Tower Bridge	the tower is near tower bridge	accept	accept
3867	RG	Frag: Wo ist der Zoo?	where is the zoo	accept	accept
3868	RG	Frag: Wo ist Madame Tussauds?	where is madame tussauds	accept	accept
3869	RG	Frag: Welcher Bus fährt dorthin?	which bus goes there	accept	accept
3870	RG	Sag: Der Tower ist nahe der Tower Bridge	the tower is near tower bridge	accept	accept
3871	no method	Frag: einen Orangensaft	i want a an orange juice	reject	accept
3872	RG	Frag: einen Orangensaft	i want an orange juice	accept	accept
3873	RG	Frag: einen Hamburger	i want a hamburger	accept	accept
3874	RG	Frag: meinen Hamburger rare	i want my hamburger rare	accept	accept
3875	magic	Frag: Erbsen	i want peas	accept	accept
3876	no method	Frag: Erbsen	i want peas	reject	accept
3877	RG	Frag: Erbsen	i would like some peas	accept	accept
3878	Restarant Cluster	Frag: Ich möchte die Dessertkarte	can i have the dessert card	reject	reject
3879	Restarant Cluster	Frag: Ich möchte die Dessertkarte	can i have the dessert card	reject	reject
3880	RG	Frag: Ich möchte die Dessertkarte	the dessert menu	accept	accept
3882	RG	Frag: Karrotenkuchen	can i have the carrot cake	accept	accept
3883	RG	Frag: Ich möchte die Rechnung	i would like the bill	accept	accept
3888	RG	Sag: Ich habe keine Reservation	i do not have a reservation	accept	accept
3889	RG	Frag: Zimmer für 2 Nächte	a room for two nights	accept	accept
3890	RG	Frag: Suite	i would like a suite	accept	accept
3891	credit card cluster	Sag: Ich möchte mit Mastercard bezahlen	i would like pay with mastercard	reject	reject
3892	credit card cluster	Sag: Ich möchte mit Mastercard bezahlen	are there a coiffeur	reject	reject
3893	no method	Frag: Zimmer für 1 Woche	i would like a room for once a week	reject	reject
3894	RG	Frag: Suite	i would like a suite	accept	accept
3896	RG	Frag: Gibt es einen Lebensmittelladen?	is there a grocery store	accept	accept
3897	RG	Frag: Wo ist der Lebensmittelladen?	where is the grocery store	accept	accept
3898	RG	Frag: 1 Musical-Ticket	can i have one musical ticket	accept	accept
3899	magic	Frag: 1 Musical-Ticket	a ticket for wednesday evening	accept	reject
3900	no method	Frag: ein Ticket für morgen Abend	a ticket for	reject	reject
3901	meaning_reject	Frag: ein Ticket für morgen Abend	a ticket for morning night	reject	reject
3902	RG	Frag: ein Ticket für morgen Abend	a ticket for tomorrow night	accept	accept
3903	magic	Frag: ein Ticket für Starlight Express	i would like a ticket for starlight express	accept	accept
3904	RG	Frag: ein Ticket für Starlight Express	a ticket for starlight express	accept	accept
3905	RG	Frag: ein Ticket für Starlight Express	a ticket for starlight express	accept	accept
3906	RG	Sag: Ich möchte in der Mitte sitzen	i want to sit in the middle	accept	accept
3907	RG	Frag: Tickets für das London Eye	can i have tickets for the london eye	accept	accept
3908	RG	Frag: 4 Tickets	i need four tickets	accept	accept
3909	RG	Sag: Mir geht es gut	i am fine	accept	accept
3910	RG	Frag: Stiefel	i want boots	accept	accept
3911	RG	Frag: weisse Stiefel	i want white boots	accept	accept
3912	RG	Frag: Grösse 36	thirty-six	accept	accept
3913	RG	Frag: ein T-Shirt	i want a t-shirt	accept	accept
3914	RG	Frag: ein gelbes T-Shirt	i want a yellow t-shirt	accept	accept
3915	no method	Frag: eine L	big	reject	reject
3916	no method	Frag: eine L	great	reject	reject
3917	RG	Frag: eine L	i am a large	accept	accept
3918	RG	Frag: Wie viel kostet es?	how much is it	accept	accept
3919	no method	Sag: Dies ist zu teuer	that is too expensive	reject	accept
3920	RG	Sag: Mir geht es gut	i am fine	accept	accept
3921	RG	Frag: Sandalen	i want sandals	accept	accept
3922	RG	Frag: rote Sandalen	i want red sandals	accept	accept
3923	RG	Frag: Grösse 38	thirty-eight	accept	accept
3924	RG	Frag: ein T-Shirt	i want a t-shirt	accept	accept
3925	RG	Frag: ein gelbes T-Shirt	i want a yellow t-shirt	accept	accept
3926	no method	Frag: eine L	great	reject	reject
3927	no method	Frag: eine L	great	reject	reject
3928	RG	Frag: eine L	i am a large	accept	accept
3929	RG	Frag: Wie viel kostet es?	how much is it	accept	accept
3930	RG	Sag: Das T-Shirt ist zu teuer	the t-shirt is too expensive	accept	accept
3931	RG	Sag: Mir geht es gut	i am fine	accept	accept
3932	RG	Frag: Stiefel	i want boots	accept	accept
3933	RG	Frag: braune Stiefel	i want brown boots	accept	accept
3934	RG	Frag: Grösse 39	thirty-nine	accept	accept
3935	RG	Frag: ein T-Shirt	i want a t-shirt	accept	accept
3936	RG	Frag: ein braunes T-Shirt	i want a brown t-shirt	accept	accept
3938	RG	Frag: Wie viel kostet das T-Shirt?	how much is the t-shirt	accept	accept
3940	RG	Sag: Mir geht es gut	i am fine	accept	accept
3941	RG	Frag: Sandalen	i want sandals	accept	accept
3942	RG	Frag: weisse Sandalen	i want white sandals	accept	accept
3943	RG	Frag: Grösse 44	forty-four	accept	accept
3944	magic	Frag: Hosen	i want pants	accept	accept
3945	RG	Frag: Hosen	i am looking for trousers	accept	accept
3946	RG	Frag: rote Hosen	i want red trousers	accept	accept
3947	RG	Frag: eine S	small	accept	accept
3948	no method	Frag: Wie viel kostet die Hose?	how much are the croasts	reject	reject
3949	no method	Frag: Wie viel kostet die Hose?	how much does the trousers cost	reject	reject
3950	RG	Sag: Die Hose ist zu teuer	the trousers is too expensive	accept	reject
3952	RG	Sag: Ich heisse Sarah	my name is sarah	accept	accept
3953	RG	Sag: Ich bin aus Italien	i am from italy	accept	accept
3954	RG	Sag: Die Hauptstadt von Italien ist Rom	the capital of italy is rome	accept	accept
3955	magic	Sag: Ich habe 1 Bruder	i have a brother	accept	accept
3956	RG	Sag: Ich habe 1 Bruder	i have one brother	accept	accept
3958	RG	Sag: Dies ist mein Pass	this is my passport	accept	accept
3959	RG	Sag: Dies ist mein Pass	it is my passport	accept	accept
3960	RG	Sag: Ich heisse Michelle	my name is michelle	accept	accept
3961	RG	Sag: Ich bin aus Deutschland	i am from germany	accept	accept
3962	RG	Sag: Die Hauptstadt von Deutschland ist Berlin	the capital of germany is berlin	accept	accept
3963	RG	Sag: Ich habe 4 ältere Brüder	i have four older brothers	accept	accept
3966	RG	Sag: Dies ist mein Pass	it is my passport	accept	accept
3967	RG	Frag: ein Ticket zum Green Park	i need a ticket to green park	accept	accept
3968	RG	Sag: Ich möchte mit Kreditkarte bezahlen	i would like to pay by credit card	accept	accept
3969	RG	Frag: 2 Tickets nach London	i need two tickets to london	accept	accept
3970	RG	Sag: Ich möchte am Freitagmorgen abreisen	i want to leave on friday morning	accept	accept
3971	RG	Sag: Ich heisse Silvia	my name is silvia	accept	accept
3972	RG	Sag: Ich bin aus England	i am from england	accept	accept
3973	RG	Frag: 6 Tickets nach London	i need six tickets to london	accept	accept
3974	magic	Sag: Ich möchte am Freitagabend abreisen	i want to leave on friday night	accept	accept
3975	RG	Sag: Ich heisse Stephanie	my name is stephanie	accept	accept
3976	RG	Sag: Ich bin aus Deutschland	i am from germany	accept	accept
3977	RG	Frag: 2 Tickets nach London	i need two tickets to london	accept	accept
3978	RG	Sag: Ich möchte um 8 Uhr morgen abreisen	i want to leave at eight o'clock tomorrow	accept	accept
3979	RG	Frag: Wie viel kostet es?	how much is it	accept	accept
3980	RG	Frag: billigeres Ticket	i want a cheaper ticket	accept	accept
3981	RG	Sag: Das ist okay	this is okay	accept	accept
3982	RG	Sag: Ich heisse Paul	my name is paul	accept	accept
3983	RG	Sag: Ich bin aus Australien	i am from australia	accept	accept
3986	RG	Sag: Ich habe keine Reservation	i do no i do not have a reservation	accept	accept
3987	RG	Frag: Zimmer für 6 Nächte	a room for six nights	accept	accept
3988	RG	Frag: Doppelzimmer	a double room	accept	accept
3989	RG	Frag: Doppelzimmer	i would like a double room	accept	accept
3991	RG	Frag: Gibt es einen Lift?	is there a lift	accept	accept
3992	RG	Frag: 2 Musical-Tickets	i need two musical tickets	accept	accept
3993	RG	Frag: 2 Tickets für Sonntagabend	i need two tickets for sunday night	accept	accept
3995	RG	Sag: Ich möchte in der fünften Reihe sitzen	i would like to sit in the fifth row	accept	accept
3996	RG	Frag: Tickets für das Science Museum	i need tickets for the science museum	accept	accept
3997	RG	Frag: 1 Ticket	i need one ticket	accept	accept
3998	RG	Frag: 2 Musical-Tickets	i need two musical tickets	accept	accept
3999	RG	Frag: 2 Tickets für heute Abend	i need two tickets for tonight	accept	accept
4000	RG	Frag: 2 Tickets für Mamma Mia	i need two tickets for mamma mia	accept	accept
4001	no method	Frag: Ticket für dieses Musical	i need tickets a ticket for this musical	reject	accept
4002	magic	Frag: Ticket für dieses Musical	i need a ticket for this musical	accept	accept
