Frag: ein grünes Sweatshirt	1
Frag: Schokoladenglace	1
Frag: rote Sandalen	2
Sag: Dies ist mein Pass	7
Sag: Ich habe keine Reservation	12
Sag: Ich habe kleinere Note	1
Frag: Pilze	2
Frag: 3 Tickets für Wicked	1
Frag: Grösse 36	1
Frag: Wo kann ich einen Haarföhn kaufen?	1
Frag: einen Tee	1
Sag: Ich möchte mit Schweizer Franken bezahlen	2
Frag: Tickets für die National Gallery	1
Sag: Die Hauptstadt von Portugal ist Lissabon	1
Sag: Ich bin aus Spanien	2
Frag: Tickets für das British Museum	1
Frag: ein Ticket für König der Löwen	1
Frag: Gibt es einen Lebensmittelladen?	21
Frag: Wo ist das Naturhistorische Museum?	3
Sag: Ich möchte um 18 Uhr morgen abreisen	2
Frag: Twinzimmer	18
Frag: Zimmer für 1 Woche	2
Sag: Ich möchte um 11 Uhr morgen abreisen	3
Frag: Wie viel kostet es?	3
Frag: Wo ist das Hotelrestaurant?	4
Sag: Ich möchte in der dritten Reihe sitzen	1
Frag: 3 Tickets	1
Sag: Die Jeans ist zu teuer	1
Sag: Ich möchte in der sechsten Reihe sitzen	1
Sag: Marble Arch ist gegenüber dem Hyde Park	9
Frag: Gibt es ein Hotelrestaurant?	2
Frag: ein Ticket für Wicked	1
Sag: Ich warte auf das bestellte Essen	12
Sag: Ich möchte um 22 Uhr morgen abreisen	1
Frag: Jeans	1
Frag: Suite	1
Sag: Es ist nahe der Bank of England	1
Sag: Mein WC ist dreckig	1
Frag: 3 Tickets nach London	1
Sag: Ich heisse Paolo	1
Frag: Rhabarberkuchen	1
Frag: ein Wasser ohne Kohlensäure	1
Sag: Italien ist nicht in Afrika	1
Frag: Zimmer für 5 Nächte	3
Frag: Wo ist der Coiffeur?	5
Frag: Gibt es eine Hotelbar?	5
Frag: Wo ist das Schwimmbad?	1
Frag: 3 Tickets für morgen Abend	1
Sag: Ich möchte um 16 Uhr morgen abreisen	1
Frag: ein Ticket zum Piccadilly Circus	3
Sag: Italien ist in Europa	1
Frag: meinen Hamburger durchgebraten	1
Sag: Ich möchte am Dienstagabend abreisen	1
Frag: ein Hemd	1
Frag: ein Sweatshirt	6
Frag: Auberginen	1
Frag: die Tagessuppe	4
Sag: Ich möchte am Dienstagmorgen abreisen	2
Sag: Ich möchte in der vierten Reihe sitzen	2
Sag: Ich möchte in der fünften Reihe sitzen	4
Frag: Wo ist das British Museum?	1
Sag: Ich möchte am Donnerstag abreisen	1
Sag: Ich möchte mit Kreditkarte bezahlen	16
Sag: Ich möchte um 15 Uhr morgen abreisen	1
Frag: Ich möchte die Dessertkarte	4
Frag: Grösse 41	1
Frag: eine Limonade	1
Sag: Ich möchte mit Dollars bezahlen	5
Frag: mein Steak durchgebraten	1
Frag: Zimmer für 4 Nächte	6
Sag: Ich möchte am Dienstagnachmittag abreisen	2
Sag du möchtest nicht: diese Jeans	1
Frag: Junior Suite	3
Frag: Gibt es ein Fitnessstudio?	6
Sag: Ich möchte hinten sitzen	4
Frag: Custard Tart	1
Frag: ein Ticket für morgen Abend	1
Sag, dass du es nicht möchtest	9
Sag: ich kaufe diese Tickets	2
Frag: 3 Tickets für Dienstagabend	1
Frag: Zimmer für 3 Nächte	1
Frag: Ich möchte die Rechnung	1
Frag: Grösse 40	1
Sag: Ich möchte in der ersten Reihe sitzen	1
Frag: Erbsen	4
Sag: Saint Pauls Cathedral ist nahe der Bank of England	3
Frag: ein Ticket für Billy Elliot	1
Sag: Das Badezimmer ist dreckig	1
Frag: Bohnen	1
Frag: Wo ist Big Ben?	3
Frag: Zimmer für 6 Nächte	6
Sag: Ich habe 4 jüngere Brüder	1
Sag: Ich gehe in die Ferien	50
Frag: billiges Ticket	1
Frag: Wo ist der Tower?	1
Frag: 4 Tickets nach London	1
Frag: ein rotes Hemd	1
Frag: Zitronenkuchen	4
Sag: Ich möchte mit Euros bezahlen	2
